agreeable,man
agreeable,old
agreeable,person
man,old
man,first
man,black
man,little
man,young
man,best
man,better
man,certain
man,happy
man,common
man,good
man,alone
man,poor
old,person
old,first
old,air
old,black
old,little
old,friend
old,love
old,part
old,room
old,thing
old,time
old,way
old,place
old,woman
old,door
old,certain
old,day
old,happy
old,dear
old,good
old,pretty
old,head
old,life
old,house
old,miserable
old,name
old,pleasant
old,poor
old,same
old,strong
old,year
person,first
person,bad
person,young
person,certain
person,other
person,good
person,money
first,aunt
first,boy
first,little
first,room
first,thing
first,time
first,evening
first,morning
first,day
first,great
first,master
first,moment
first,work
first,thought
black,beautiful
black,letter
black,little
black,thing
black,door
black,eye
black,great
black,long
black,hard
black,strong
little,short
little,round
little,boy
little,beautiful
little,face
little,friend
little,love
little,room
little,thing
little,time
little,way
little,better
little,place
little,right
little,woman
little,word
little,door
little,eye
little,bright
little,other
little,child
little,dear
little,good
little,home
little,pretty
little,voice
little,head
little,hope
little,hand
little,red
little,white
little,light
little,bed
little,house
little,low
little,money
little,ready
little,small
little,strange
little,thought
little,miserable
little,pleasant
little,poor
little,quiet
little,same
young,boy
young,beautiful
young,friend
young,heart
young,woman
young,other
young,child
young,dear
young,good
young,mother
young,pretty
young,master
best,course
best,friend
best,love
best,part
best,room
best,thing
best,time
best,way
better,friend
better,heart
better,mind
better,place
better,right
better,state
better,woman
better,word
better,child
better,thought
better,nothing
certain,thing
certain,place
certain,bright
certain,day
certain,other
happy,love
happy,child
happy,home
happy,life
common,thing
common,same
good,arm
good,round
good,friend
good,part
good,thing
good,time
good,mind
good,place
good,right
good,woman
good,word
good,bright
good,day
good,night
good,dear
good,pretty
good,fire
good,great
good,head
good,hope
good,long
good,perfect
good,something
poor,boy
poor,beautiful
poor,child
poor,dear
poor,mother
poor,head
poor,hand
air,bad
air,morning
air,general
air,greater
air,pleasant
air,same
friend,round
friend,other
friend,kind
friend,dear
love,natural
part,other
part,dark
part,great
part,greater
part,strong
room,door
room,other
room,dark
room,night
room,long
room,large
room,new
room,small
room,quiet
room,same
room,usual
thing,mind
thing,kind
thing,great
thing,white
thing,strange
thing,same
time,other
time,early
time,long
time,whole
time,light
time,same
way,short
way,other
way,home
way,pretty
way,general
way,long
way,new
way,whole
way,light
way,small
way,wrong
way,quiet
place,right
place,other
place,whole
place,ready
place,quiet
place,same
place,usual
woman,pretty
woman,true
door,other
door,open
door,small
day,early
day,whole
day,lost
dear,bad
dear,boy
dear,child
dear,kind
dear,home
dear,mother
dear,pretty
dear,late
dear,same
pretty,mother
pretty,long
pretty,hand
pretty,red
pretty,large
pretty,late
head,other
head,red
head,large
life,mother
life,long
life,hard
life,new
life,quiet
house,other
house,whole
house,small
pleasant,other
pleasant,manner
same,boy
same,face
same,state
same,word
same,bright
same,kind
same,great
same,moment
same,manner
same,low
same,quiet
same,strong
strong,hand
strong,red
strong,usual
bad,boy
other,short
other,boy
other,face
other,course
other,evening
other,child
other,kind
other,great
other,general
other,hand
other,light
other,manner
other,possible
other,side
anything,short
anything,thought
short,arm
short,right
short,evening
thought,mother
thought,nothing
thought,possible
arm,round
arm,right
arm,home
arm,open
right,face
right,home
right,hand
right,side
evening,bright
evening,quiet
round,face
round,eye
round,bright
round,hand
round,large
round,small
round,something
home,early
open,hand
face,beautiful
face,bright
face,kind
face,large
face,new
face,whole
face,strange
eye,bright
eye,dark
eye,fire
eye,full
eye,great
eye,red
eye,quiet
bright,morning
hand,great
hand,long
hand,large
hand,small
large,fire
large,long
large,new
large,white
small,boy
small,voice
small,hope
something,new
something,light
something,strange
something,wrong
boy,strange
morning,early
great,night
great,voice
great,hard
great,red
master,hard
master,new
master,perfect
work,hard
general,fancy
general,voice
strange,kind
beautiful,letter
letter,long
long,night
long,low
hard,word
kind,word
kind,dark
kind,new
new,state
new,hope
new,light
new,nothing
whole,course
whole,heart
whole,mind
whole,late
whole,manner
whole,family
whole,world
voice,low
voice,quiet
red,light
light,manner
low,mind
low,state
heart,full
heart,glad
course,natural
course,usual
natural,manner
dark,night
mind,nothing
wrong,nothing
state,true
nothing,half
side,world
